Region,Level,Latitude,Longitude,Outcome,Prevention,OutcomePrevalence,PredictionAccuracyScore,PreventionPrevalence,PreventionRank,PreventionCalculationLevel,PreventionScore
US,US,,,Teeth Loss,Current Smoking,14.5,0.907248555,16.4,1,National,0
US,US,,,Teeth Loss,Dental Visit,14.5,0.907248555,65.7,2,National,0
US,US,,,Teeth Loss,Physical Inactivity,14.5,0.907248555,24.2,3,National,0
US,US,,,Teeth Loss,Mammography,14.5,0.907248555,75.2,4,National,0
US,US,,,Teeth Loss,Sleep <7 hours,14.5,0.907248555,34.6,5,National,0
US,US,,,Stroke,Taking BP Medication,3.2,0.867507992,77.2,1,National,0
US,US,,,Stroke,Dental Visit,3.2,0.867507992,65.7,2,National,0
US,US,,,Stroke,Cholesterol Screening,3.2,0.867507992,77,3,National,0
US,US,,,Stroke,Obesity,3.2,0.867507992,29.6,4,National,0
US,US,,,Stroke,Health Insurance,3.2,0.867507992,11.6,5,National,0
US,US,,,Physical Health,Physical Inactivity,12.1,0.92794472,24.2,1,National,0
US,US,,,Physical Health,Cholesterol Screening,12.1,0.92794472,77,2,National,0
US,US,,,Physical Health,Dental Visit,12.1,0.92794472,65.7,3,National,0
US,US,,,Physical Health,Current Smoking,12.1,0.92794472,16.4,4,National,0
US,US,,,Physical Health,Annual Checkup,12.1,0.92794472,71.2,5,National,0
US,US,,,Mental Health,Current Smoking,11.7,0.87986488,16.4,1,National,0
US,US,,,Mental Health,Mammography,11.7,0.87986488,75.2,2,National,0
US,US,,,Mental Health,Annual Checkup,11.7,0.87986488,71.2,3,National,0
US,US,,,Mental Health,Physical Inactivity,11.7,0.87986488,24.2,4,National,0
US,US,,,Mental Health,Cholesterol Screening,11.7,0.87986488,77,5,National,0
US,US,,,Chronic Kidney Disease,Taking BP Medication,2.9,0.885832629,77.2,1,National,0
US,US,,,Chronic Kidney Disease,Dental Visit,2.9,0.885832629,65.7,2,National,0
US,US,,,Chronic Kidney Disease,Cholesterol Screening,2.9,0.885832629,77,3,National,0
US,US,,,Chronic Kidney Disease,Physical Inactivity,2.9,0.885832629,24.2,4,National,0
US,US,,,Chronic Kidney Disease,Annual Checkup,2.9,0.885832629,71.2,5,National,0
US,US,,,High Cholesterol,Taking BP Medication,37.1,0.930340498,77.2,1,National,0
US,US,,,High Cholesterol,Annual Checkup,37.1,0.930340498,71.2,2,National,0
US,US,,,High Cholesterol,Physical Inactivity,37.1,0.930340498,24.2,3,National,0
US,US,,,High Cholesterol,Cholesterol Screening,37.1,0.930340498,77,4,National,0
US,US,,,High Cholesterol,Health Insurance,37.1,0.930340498,11.6,5,National,0
US,US,,,Diabetes,Taking BP Medication,10.8,0.934231335,77.2,1,National,0
US,US,,,Diabetes,Dental Visit,10.8,0.934231335,65.7,2,National,0
US,US,,,Diabetes,Cholesterol Screening,10.8,0.934231335,77,3,National,0
US,US,,,Diabetes,Physical Inactivity,10.8,0.934231335,24.2,4,National,0
US,US,,,Diabetes,Current Smoking,10.8,0.934231335,16.4,5,National,0
