Region,Level,Outcome,Prevention,Outcome Prevalence,Prevention Prevalence,Prevention Rank,Prevention Score,Prediction Accuracy
US,US,TEETHLOST,CSMOKING,14.5,16.4,1,0,0.907248555
US,US,TEETHLOST,DENTAL,14.5,65.7,2,0,0.907248555
US,US,TEETHLOST,LPA,14.5,24.2,3,0,0.907248555
US,US,TEETHLOST,MAMMOUSE,14.5,75.2,4,0,0.907248555
US,US,TEETHLOST,SLEEP,14.5,34.6,5,0,0.907248555
US,US,STROKE,BPMED,3.2,77.2,1,0,0.867507992
US,US,STROKE,DENTAL,3.2,65.7,2,0,0.867507992
US,US,STROKE,CHOLSCREEN,3.2,77,3,0,0.867507992
US,US,STROKE,OBESITY,3.2,29.6,4,0,0.867507992
US,US,STROKE,ACCESS2,3.2,11.6,5,0,0.867507992
US,US,PHLTH,LPA,12.1,24.2,1,0,0.92794472
US,US,PHLTH,CHOLSCREEN,12.1,77,2,0,0.92794472
US,US,PHLTH,DENTAL,12.1,65.7,3,0,0.92794472
US,US,PHLTH,CSMOKING,12.1,16.4,4,0,0.92794472
US,US,PHLTH,CHECKUP,12.1,71.2,5,0,0.92794472
US,US,MHLTH,CSMOKING,11.7,16.4,1,0,0.87986488
US,US,MHLTH,MAMMOUSE,11.7,75.2,2,0,0.87986488
US,US,MHLTH,CHECKUP,11.7,71.2,3,0,0.87986488
US,US,MHLTH,LPA,11.7,24.2,4,0,0.87986488
US,US,MHLTH,CHOLSCREEN,11.7,77,5,0,0.87986488
US,US,KIDNEY,BPMED,2.9,77.2,1,0,0.885832629
US,US,KIDNEY,DENTAL,2.9,65.7,2,0,0.885832629
US,US,KIDNEY,CHOLSCREEN,2.9,77,3,0,0.885832629
US,US,KIDNEY,LPA,2.9,24.2,4,0,0.885832629
US,US,KIDNEY,CHECKUP,2.9,71.2,5,0,0.885832629
US,US,HIGHCHOL,BPMED,37.1,77.2,1,0,0.930340498
US,US,HIGHCHOL,CHECKUP,37.1,71.2,2,0,0.930340498
US,US,HIGHCHOL,LPA,37.1,24.2,3,0,0.930340498
US,US,HIGHCHOL,CHOLSCREEN,37.1,77,4,0,0.930340498
US,US,HIGHCHOL,ACCESS2,37.1,11.6,5,0,0.930340498
US,US,DIABETES,BPMED,10.8,77.2,1,0,0.934231335
US,US,DIABETES,DENTAL,10.8,65.7,2,0,0.934231335
US,US,DIABETES,CHOLSCREEN,10.8,77,3,0,0.934231335
US,US,DIABETES,LPA,10.8,24.2,4,0,0.934231335
US,US,DIABETES,CSMOKING,10.8,16.4,5,0,0.934231335
US,US,COPD,CHOLSCREEN,6.5,77,1,0,0.901400731
US,US,COPD,DENTAL,6.5,65.7,2,0,0.901400731
US,US,COPD,CSMOKING,6.5,16.4,3,0,0.901400731
US,US,COPD,LPA,6.5,24.2,4,0,0.901400731
US,US,COPD,ACCESS2,6.5,11.6,5,0,0.901400731
US,US,CHD,BPMED,6.6,77.2,1,0,0.840727351
US,US,CHD,DENTAL,6.6,65.7,2,0,0.840727351
US,US,CHD,SLEEP,6.6,34.6,3,0,0.840727351
US,US,CHD,LPA,6.6,24.2,4,0,0.840727351
US,US,CHD,ACCESS2,6.6,11.6,5,0,0.840727351
US,US,CASTHMA,SLEEP,8.9,34.6,1,0,0.868594269
US,US,CASTHMA,CSMOKING,8.9,16.4,2,0,0.868594269
US,US,CASTHMA,COLON_SCREEN,8.9,65.2,3,0,0.868594269
US,US,CASTHMA,COREW,8.9,31.7,4,0,0.868594269
US,US,CASTHMA,OBESITY,8.9,29.6,5,0,0.868594269
US,US,CANCER,CHOLSCREEN,6.6,77,1,0,0.831713566
US,US,CANCER,BPMED,6.6,77.2,2,0,0.831713566
US,US,CANCER,MAMMOUSE,6.6,75.2,3,0,0.831713566
US,US,CANCER,SLEEP,6.6,34.6,4,0,0.831713566
US,US,CANCER,COLON_SCREEN,6.6,65.2,5,0,0.831713566
US,US,BPHIGH,BPMED,31.9,77.2,1,0,0.935843565
US,US,BPHIGH,OBESITY,31.9,29.6,2,0,0.935843565
US,US,BPHIGH,BINGE,31.9,16.9,3,0,0.935843565
US,US,BPHIGH,CHECKUP,31.9,71.2,4,0,0.935843565
US,US,BPHIGH,DENTAL,31.9,65.7,5,0,0.935843565
US,US,ARTHRITIS,BPMED,25.4,77.2,1,0,0.886738565
US,US,ARTHRITIS,BINGE,25.4,16.9,2,0,0.886738565
US,US,ARTHRITIS,CSMOKING,25.4,16.4,3,0,0.886738565
US,US,ARTHRITIS,SLEEP,25.4,34.6,4,0,0.886738565
US,US,ARTHRITIS,ACCESS2,25.4,11.6,5,0,0.886738565
Alabama,State,TEETHLOST,LPA,22.8,35.6,1,0,0.950085565
Alabama,State,TEETHLOST,CSMOKING,22.8,22.3,2,0,0.950085565
Alabama,State,TEETHLOST,CHOLSCREEN,22.8,74.8,3,0,0.950085565
Alabama,State,TEETHLOST,MAMMOUSE,22.8,83.6,4,0,0.950085565
Alabama,State,TEETHLOST,BINGE,22.8,13.2,5,0,0.950085565
Alabama,State,STROKE,LPA,5,35.6,1,0,0.949767815
Alabama,State,STROKE,CSMOKING,5,22.3,2,0,0.949767815
Alabama,State,STROKE,BINGE,5,13.2,3,0,0.949767815
Alabama,State,STROKE,CHOLSCREEN,5,74.8,4,0,0.949767815
Alabama,State,STROKE,SLEEP,5,41.5,5,0,0.949767815
Alabama,State,PHLTH,LPA,16.3,35.6,1,0,0.977897451
Alabama,State,PHLTH,BPMED,16.3,81.3,2,0,0.977897451
Alabama,State,PHLTH,COLON_SCREEN,16.3,64.1,3,0,0.977897451
Alabama,State,PHLTH,CSMOKING,16.3,22.3,4,0,0.977897451
