Region,Level,OutcomeShort,PreventionShort,OutcomePrevalence,PredictionAccuracyScore,PreventionPrevalence,PreventionRank,PreventionCalculationLevel,Latitude,Longitude,Outcome,Prevention
US,US,TEETHLOST,LPA,14.5,0.942122411,24.2,1,National,,,Teeth Loss,Physical Inactivity
US,US,TEETHLOST,CSMOKING,14.5,0.942122411,16.4,2,National,,,Teeth Loss,Current Smoking
US,US,TEETHLOST,CHOLSCREEN,14.5,0.942122411,77,3,National,,,Teeth Loss,Cholesterol Screening
US,US,TEETHLOST,MAMMOUSE,14.5,0.942122411,75.2,4,National,,,Teeth Loss,Mammography
US,US,TEETHLOST,BINGE,14.5,0.942122411,16.9,5,National,,,Teeth Loss,Binge Drinking
US,US,STROKE,LPA,3.2,0.948855653,24.2,1,National,,,Stroke,Physical Inactivity
US,US,STROKE,CSMOKING,3.2,0.948855653,16.4,2,National,,,Stroke,Current Smoking
US,US,STROKE,BINGE,3.2,0.948855653,16.9,3,National,,,Stroke,Binge Drinking
US,US,STROKE,CHOLSCREEN,3.2,0.948855653,77,4,National,,,Stroke,Cholesterol Screening
US,US,STROKE,SLEEP,3.2,0.948855653,34.6,5,National,,,Stroke,Sleep <7 hours
US,US,PHLTH,LPA,12.1,0.977795063,24.2,1,National,,,Physical Health,Physical Inactivity
US,US,PHLTH,BPMED,12.1,0.977795063,77.2,2,National,,,Physical Health,Taking BP Medication
US,US,PHLTH,COLON_SCREEN,12.1,0.977795063,65.2,3,National,,,Physical Health,Colorectal Cancer Screening
US,US,PHLTH,CSMOKING,12.1,0.977795063,16.4,4,National,,,Physical Health,Current Smoking
US,US,PHLTH,OBESITY,12.1,0.977795063,29.6,5,National,,,Physical Health,Obesity
US,US,MHLTH,CSMOKING,11.7,0.974351843,16.4,1,National,,,Mental Health,Current Smoking
US,US,MHLTH,BPMED,11.7,0.974351843,77.2,2,National,,,Mental Health,Taking BP Medication
US,US,MHLTH,CHOLSCREEN,11.7,0.974351843,77,3,National,,,Mental Health,Cholesterol Screening
US,US,MHLTH,DENTAL,11.7,0.974351843,65.7,4,National,,,Mental Health,Dental Visit
US,US,MHLTH,ACCESS2,11.7,0.974351843,11.6,5,National,,,Mental Health,Health Insurance
US,US,KIDNEY,LPA,2.9,0.967984527,24.2,1,National,,,Chronic Kidney Disease,Physical Inactivity
US,US,KIDNEY,CSMOKING,2.9,0.967984527,16.4,2,National,,,Chronic Kidney Disease,Current Smoking
US,US,KIDNEY,SLEEP,2.9,0.967984527,34.6,3,National,,,Chronic Kidney Disease,Sleep <7 hours
US,US,KIDNEY,CHOLSCREEN,2.9,0.967984527,77,4,National,,,Chronic Kidney Disease,Cholesterol Screening
US,US,KIDNEY,BINGE,2.9,0.967984527,16.9,5,National,,,Chronic Kidney Disease,Binge Drinking
US,US,HIGHCHOL,BPMED,37.1,0.978006931,77.2,1,National,,,High Cholesterol,Taking BP Medication
